,initial_distance,time_cost,global_min_dis
0,272918.3064316043,130.68,134078.7820146521
1,262711.4786749178,130.93,127716.72447138975
2,261929.04044864836,134.96,129782.21171278451
3,269735.5446508791,128.3,125619.0094539033
4,265801.31661346985,126.75,133113.94695980664
5,271265.81350841577,133.29,132333.31000729406
6,268301.3576540066,130.21,133352.86123080962
7,273300.8756362279,127.81,127181.77928456877
8,266351.67539378995,125.65,137416.75228773855
9,268538.5890983531,126.46,122717.02010229738
10,272925.35966313165,131.56,134314.65192858825
11,278049.9567508791,127.43,131620.3034135855
12,264579.3192110669,129.25,128775.49039099137
13,272153.3837899127,132.48,128426.66255368876
14,271809.15573208896,125.74,130786.56327753025
15,272288.3570969647,126.25,128960.41751221214
16,255849.6728817741,126.58,128834.6823702489
17,279922.4175044046,127.48,132331.04238535176
18,258366.43351876052,133.34,125195.21562183916
19,277919.3818779374,128.58,133171.1365583219
20,271022.1540696696,128.54,128733.96486642206
21,269775.86194645136,134.51,129787.38210739775
22,278502.87374799466,125.1,120619.99374815242
23,267880.47638026567,124.65,127521.05396509991
24,279329.6261373577,127.75,131337.6390849471
25,275023.82065127813,126.16,133566.16760332347
26,275844.992602491,135.44,124214.1240915568
27,267933.2709026265,130.34,125785.83905417562
28,275010.46676109004,132.33,116483.53407547706
29,269185.13264158985,133.08,134064.31403805627
