,initial_distance,time_cost,global_min_dis
0,997476.795221574,134.2,464108.4973357776
1,1016819.2301369397,133.92,463749.7983352739
2,947559.8890546338,135.83,461928.05467512656
3,1004888.4351029306,139.46,478413.4616529821
4,1003976.5225651247,131.55,474943.8029366371
5,1000064.0935304421,129.75,496560.58313278586
6,975387.603770474,133.94,465425.5636904559
7,1001606.1258018839,129.51,481256.794972723
8,980169.9617420521,128.63,463879.4744107879
9,997011.9911128668,133.35,450209.59485174826
10,1008625.5470259819,127.71,465376.3765603539
11,1032555.5660311789,128.59,472692.9853309416
12,1007822.9312482845,130.31,489545.24270311685
13,1009196.2690860436,130.87,486140.97915629606
14,1010874.4970916237,138.49,491820.0100698862
15,1004430.264977371,128.54,468603.57496484934
16,994231.0795842673,128.14,487349.7669608515
17,997421.4854142504,134.24,464816.2062355794
18,991889.0560125764,129.9,476281.85625732737
19,996494.6266619875,129.25,466029.3165279473
20,1017279.6236728743,128.88,458585.83708732115
21,1000721.3882897524,130.45,493563.9609870303
22,1002732.8090609845,135.28,455155.57823740214
23,1002181.7881076714,130.23,474232.8821085816
24,1008324.3644306199,129.0,488073.51996444963
25,1010291.1907079892,133.33,454713.1996924093
26,989246.1612799733,128.08,508047.3006016372
27,990072.678294097,128.14,444232.3535760356
28,1007032.0769913162,132.29,498491.46719221695
29,1006223.7936863857,129.3,472899.7398749657
