,initial_distance,time_cost,global_min_dis
0,52247.04530059064,97.41,45083.91018575721
1,55514.64864156665,99.25,47911.43020837396
2,53441.7995329838,101.82,50319.95787268141
3,54364.036728143015,100.23,48383.741565416414
4,54871.250749701896,102.98,51242.642947888446
5,53308.097408302696,104.17,47744.0219116499
6,55183.182881494016,104.77,52932.17995844287
7,53693.09300936564,104.55,50493.28633761446
8,52181.97765669699,104.55,46332.26895136361
9,52631.12767400926,102.46,48786.26055737982
10,57371.78959611895,102.83,47513.389417514576
11,54096.082728433,105.09,47279.488049356565
12,53668.32486756696,102.53,51212.63919523924
13,53111.31192747667,102.36,51749.67503491919
14,55943.546765832085,98.49,51996.76898709089
15,53478.70083734538,100.97,49436.6920800357
16,51102.04373500829,102.65,48839.00804256711
17,55033.918459163055,102.43,48557.19071644242
18,55231.0646651954,102.02,51144.5612308382
19,52830.85128123227,103.3,48454.391880466355
20,57209.69415236584,102.06,52215.68439765939
21,50370.741327407115,100.26,47821.0441423188
22,55175.04476615366,100.61,47996.074030093085
23,53687.33187582285,101.2,50933.3634970762
24,52034.873295402824,101.0,49593.41591460686
25,54221.114190457694,100.65,51140.608834898274
26,55070.77530614968,97.45,47714.049955641596
27,52892.667080212246,98.0,49603.20883222312
28,55433.69548411461,98.95,48413.75922280013
29,53991.35476019721,100.13,47333.51894360195
