,initial_distance,time_cost,global_min_dis
0,205953.46492570915,179.76,197643.73233232784
1,199605.0669728841,178.55,186582.9116472048
2,208191.65316104103,179.8,178581.54836276095
3,187913.40817257136,181.46,183554.9192119124
4,179838.59962552894,177.42,178101.7864857044
5,184501.4391474461,177.73,181918.69561194725
6,203804.96934667084,176.42,189368.95697756243
7,188992.28570083712,183.21,177444.99730278374
8,206559.30192560575,179.52,191753.48239415334
9,204189.68175437747,177.76,190275.26866237706
10,204447.7083757498,179.14,178658.6742796009
11,203152.90712651334,184.88,189295.25192525916
12,198483.21492874375,176.32,192024.3496370973
13,210622.39127845448,180.89,203947.9167162091
14,199585.144526762,179.82,183606.51761659165
15,203663.88470827357,180.06,178514.17018121996
16,205266.69470568447,175.2,200199.29347898986
17,208650.8142198064,177.55,197105.3265344602
18,198457.48236461938,177.92,189124.27671145782
19,193539.23240416465,176.26,180844.60998217695
20,205969.13453659374,174.39,188584.7055981877
21,200805.65588681708,175.09,185280.2772109352
22,200008.89815858606,173.29,187239.21855176496
23,194699.0188613883,177.46,187453.56044930257
24,198671.03362662852,174.91,186827.27989382084
25,191063.2357733403,183.67,180039.61588064153
26,202027.16336182592,174.57,168367.2745278502
27,202579.82295592807,176.27,177902.63899597575
28,199387.79956635804,188.51,188926.1657489431
29,198717.5376149042,181.27,182381.75847352992
